matricula,cpf,curriculo,forma_ingresso,ano_ingresso,periodo_ingresso,reserva_vagas,forma_evasao,ano_evasao,periodo_evasao,evadiu_periodo,sexo,cor,tipo_ensino_medio,ano_nascimento,idade_ingresso,idade_evasao,media_vestibular,periodo_ingresso_concat,periodo_evasao_concat
900000733,00000000001,1999,VESTIBULAR,2009,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2012,1,6,Homem,Não declarada,Somente escola privada,1991,18,21,,2009.2,2012.1
900000993,00000000002,2017,SISU,2020,1,2,GRADUADO,2019,1,-1,Homem,Parda,Somente escola pública,2001,19,18,65813,2020.1,2019.1
900002342,00000000003,1999,SISU,2014,2,,GRADUADO,2016,2,5,Mulher,Parda,Somente escola pública,1995,19,21,6623,2014.2,2016.2
900001647,00000000004,1999,VESTIBULAR,2010,1,,GRADUADO,2017,2,16,Mulher,Branca,Somente escola privada,1984,26,33,6558,2010.1,2017.2
900001883,00000000005,1999,VESTIBULAR / ENEM,2013,2,,GRADUADO,2011,2,-3,Homem,Branca,Somente escola privada,1990,23,21,68181,2013.2,2011.2
900000164,00000000006,2017,SISU,2016,1,,GRADUADO,2019,1,7,Homem,Branca,Somente escola pública,1995,21,24,64394,2016.1,2019.1
900001200,00000000007,1999,VESTIBULAR,2009,2,,REGULAR,-1,0,-4021,Homem,Não declarada,,1991,18,-1992,5871,2009.2,-1
900000389,00000000008,2017,SISU,2021,1,5,REGULAR,-1,0,-4044,Homem,Branca,Somente escola privada,2003,18,-2004,62026,2021.1,-1
900000287,00000000009,2017,SISU,2015,2,3,CANCELAMENTO POR ABANDONO,2015,1,0,Homem,Parda,,1994,21,21,6502,2015.2,2015.1
900002362,00000000010,2017,SISU,2018,2,,REGULAR,-1,0,-4039,Homem,Branca,Somente escola privada,1998,20,-1999,66713,2018.2,-1
900001890,00000000011,1999,VESTIBULAR / ENEM,2012,1,,CANCELAMENTO P/ SOLICITACAO ALUNO,2013,2,4,Homem,Não declarada,,1996,16,17,6632,2012.1,2013.2
900000079,00000000012,1999,VESTIBULAR,2010,2,,CANCELAMENTO POR ABANDONO,2019,2,19,Mulher,Parda,Somente escola pública,1991,19,28,6418,2010.2,2019.2
900000349,00000000013,1999,VESTIBULAR,2006,2,,GRADUADO,2010,2,9,Homem,Branca,Somente escola privada,1988,18,22,67660,2006.2,2010.2
900001134,00000000014,1999,VESTIBULAR,2008,2,,REGULAR,-1,0,-4019,Homem,Não declarada,,1991,17,-1992,6046,2008.2,-1
900001905,00000000015,2017,SISU,2020,1,,REGULAR,-1,0,-4042,Mulher,Branca,Somente escola pública,2000,20,-2001,7338,2020.1,-1
900002028,00000000016,2017,SISU,2018,1,2,REGULAR,-1,0,-4038,Homem,Não declarada,,1999,19,-2000,6135,2018.1,-1
900002450,00000000017,2017,SISU,2016,2,,REGULAR,-1,0,-4035,Homem,Parda,Somente escola pública,1996,20,-1997,5909,2016.2,-1
900002338,00000000018,1999,VESTIBULAR / ENEM,2011,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2017,2,13,Homem,Parda,Somente escola privada,1994,17,23,6377,2011.2,2017.2
900000989,00000000019,1999,VESTIBULAR / ENEM,2012,1,,CANCELAMENTO P/ SOLICITACAO ALUNO,2017,2,12,Homem,Parda,Somente escola privada,1993,19,24,6341,2012.1,2017.2
900000357,00000000020,1999,SISU,2015,1,2,REGULAR,-1,0,-4032,Homem,Parda,Somente escola pública,1990,25,-1991,62038,2015.1,-1
900002572,00000000021,1999,VESTIBULAR,2010,2,,GRADUADO,2011,2,3,Homem,Branca,Somente escola privada,1989,21,22,68707,2010.2,2011.2
900002360,00000000022,1999,VESTIBULAR / ENEM,2012,1,,GRADUADO,2015,1,7,Homem,Branca,Somente escola privada,1983,29,32,6256,2012.1,2015.1
900001059,00000000023,1999,SISU,2017,2,,CANCELADO NOVO INGRESSO MESMO CURSO,2009,1,-16,Homem,Branca,Somente escola pública,1993,24,16,6767,2017.2,2009.1
900001548,00000000024,1999,VESTIBULAR / ENEM,2013,1,5,CANCELAMENTO POR ABANDONO,2020,1,15,Mulher,Parda,Somente escola privada,1995,18,25,4245,2013.1,2020.1
900001507,00000000025,1999,SISU,2016,1,,CANCELAMENTO POR ABANDONO,2017,2,4,Homem,Branca,Somente escola pública,1996,20,21,579,2016.1,2017.2
900002602,00000000026,1999,VESTIBULAR / ENEM,2011,1,,CANCELADO REPROVOU TODAS POR FALTAS,2017,1,13,Homem,Amarela,Somente escola privada,1991,20,26,5915,2011.1,2017.1
900000317,00000000027,1999,VESTIBULAR,2010,2,,REGULAR,-1,0,-4023,Homem,Branca,Somente escola privada,1993,17,-1994,699,2010.2,-1
900000612,00000000028,1999,SISU,2017,1,2,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,2,-4,Mulher,Parda,Somente escola privada,1988,29,26,59957,2017.1,2014.2
900000173,00000000029,1999,VESTIBULAR,2010,2,,REGULAR,-1,0,-4023,Homem,Amarela,Somente escola pública,1992,18,-1993,5626,2010.2,-1
900001276,00000000030,2017,SISU,2020,2,4,REGULAR,-1,0,-4043,Homem,Parda,Somente escola privada,1995,25,-1996,6802,2020.2,-1
900002269,00000000031,1999,VESTIBULAR,2009,1,,GRADUADO,2017,1,17,Homem,Branca,Somente escola privada,1988,21,29,73699,2009.1,2017.1
900001260,00000000032,1999,VESTIBULAR,2009,1,,CANCELADO NOVO INGRESSO MESMO CURSO,2015,2,14,Homem,Branca,Somente escola privada,1993,16,22,6054,2009.1,2015.2
900002249,00000000033,1999,VESTIBULAR / ENEM,2013,2,3,CANCELAMENTO P/ SOLICITACAO ALUNO,2014,2,3,Mulher,Parda,Somente escola privada,1996,17,18,65753,2013.2,2014.2
900000493,00000000034,1999,VESTIBULAR,2010,1,,CANCELAMENTO P/ SOLICITACAO ALUNO,2015,2,12,Homem,Branca,Somente escola privada,1988,22,27,6489,2010.1,2015.2
900001362,00000000035,1999,VESTIBULAR / ENEM,2013,1,,REGULAR,-1,0,-4028,Homem,Não declarada,,1995,18,-1996,6826,2013.1,-1
900000745,00000000036,2017,SISU,2018,1,,CANCELADO 3 REPROV MESMA DISCIPLINA,2016,2,-2,Homem,Branca,Somente escola pública,2000,18,16,55694,2018.1,2016.2
900001520,00000000037,2017,TRANSFERENCIA,2020,1,,REGULAR,-1,0,-4042,Homem,Branca,Somente escola privada,2003,17,-2004,71399,2020.1,-1
900001863,00000000038,2017,SISU,2020,2,5,REGULAR,-1,0,-4043,Homem,Branca,Somente escola privada,2001,19,-2002,,2020.2,-1
900001330,00000000039,1999,VESTIBULAR,2010,2,,REGULAR,-1,0,-4023,Homem,Não declarada,,1992,18,-1993,65507,2010.2,-1
900000894,00000000040,1999,VESTIBULAR / ENEM,2013,1,,REGULAR,-1,0,-4028,Homem,Branca,Somente escola pública,1989,24,-1990,70201,2013.1,-1
900001349,00000000041,1999,VESTIBULAR / ENEM,2013,2,,CANCELADO NOVO INGRESSO MESMO CURSO,2016,1,6,Homem,Branca,Somente escola privada,1993,20,23,5987,2013.2,2016.1
900000235,00000000042,2017,SISU,2015,2,,CANCELADO REPROVOU TODAS POR FALTAS,2014,2,-1,Homem,Branca,Somente escola pública,1996,19,18,6688,2015.2,2014.2
900001181,00000000043,1999,VESTIBULAR / ENEM,2013,1,3,REGULAR,-1,0,-4028,Homem,Branca,Somente escola privada,1993,20,-1994,5862,2013.1,-1
900001604,00000000044,1999,VESTIBULAR / ENEM,2012,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2015,1,6,Homem,Preta,Somente escola pública,1992,20,23,66794,2012.2,2015.1
900001344,00000000045,1999,VESTIBULAR / ENEM,2011,2,,CANCELADO REPROVOU TODAS POR FALTAS,2019,2,17,Homem,Amarela,Somente escola pública,1990,21,29,6766,2011.2,2019.2
900000351,00000000046,1999,VESTIBULAR / ENEM,2013,1,,REGULAR,-1,0,-4028,Homem,Branca,Somente escola pública,1997,16,-1998,6055,2013.1,-1
900001809,00000000047,1999,SISU,2014,2,,REGULAR,-1,0,-4031,Mulher,Não declarada,,1997,17,-1998,72696,2014.2,-1
900000648,00000000048,2017,SISU,2018,2,,CANCELADO NOVO INGRESSO MESMO CURSO,2018,2,1,Homem,Parda,Somente escola pública,1998,20,20,6199,2018.2,2018.2
900002441,00000000049,1999,VESTIBULAR / ENEM,2012,1,,REGULAR,-1,0,-4026,Homem,Preta,,1993,19,-1994,6814,2012.1,-1
900000191,00000000050,2017,SISU,2019,1,,CANCELADO REPROVOU TODAS POR FALTAS,2014,2,-8,Homem,Parda,Somente escola pública,2003,16,11,6659,2019.1,2014.2
900000259,00000000051,2017,SISU,2015,2,,GRADUADO,2020,1,10,Mulher,Parda,Somente escola pública,1981,34,39,62687,2015.2,2020.1
900002365,00000000052,1999,SISU,2015,2,,GRADUADO,2017,2,5,Homem,Branca,Somente escola pública,1998,17,19,6352,2015.2,2017.2
900000505,00000000053,2017,SISU,2017,2,2,GRADUADO,2012,1,-10,Homem,Branca,Somente escola privada,1995,22,17,63505,2017.2,2012.1
900002007,00000000054,2017,SISU,2014,2,,GRADUADO,2016,1,4,Homem,Não declarada,Somente escola privada,1997,17,19,69144,2014.2,2016.1
900002740,00000000055,1999,SISU,2015,2,2,CANCELADO REPROVOU TODAS POR FALTAS,2015,1,0,Homem,Branca,Somente escola privada,1992,23,23,6095,2015.2,2015.1
900001129,00000000056,1999,VESTIBULAR,2008,2,,CANCELAMENTO POR ABANDONO,2018,2,21,Homem,Parda,,1989,19,29,,2008.2,2018.2
900001638,00000000057,1999,VESTIBULAR / ENEM,2011,1,,GRADUADO,2012,2,4,Homem,Branca,Somente escola pública,1986,25,26,6007,2011.1,2012.2
900000921,00000000058,2017,SISU,2016,1,,GRADUADO,2017,2,4,Mulher,Não declarada,Somente escola privada,2000,16,17,,2016.1,2017.2
900002079,00000000059,1999,VESTIBULAR,2009,2,,GRADUADO,2020,1,22,Homem,Branca,Somente escola pública,1989,20,31,62718,2009.2,2020.1
900001615,00000000060,2017,SISU,2021,1,,CANCELAMENTO POR ABANDONO,2008,1,-25,Homem,Branca,Somente escola pública,2002,19,6,66479,2021.1,2008.1
900002625,00000000061,2017,SISU,2015,1,5,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,1,-1,Homem,Branca,Somente escola privada,1997,18,17,6495,2015.1,2014.1
900000966,00000000062,1999,VESTIBULAR / ENEM,2013,2,,REGULAR,-1,0,-4029,Homem,Branca,Somente escola privada,1996,17,-1997,647,2013.2,-1
900001837,00000000063,1999,VESTIBULAR / ENEM,2011,1,,CANCELADO NOVO INGRESSO MESMO CURSO,2009,1,-3,Homem,Branca,Somente escola privada,1994,17,15,5534,2011.1,2009.1
900002789,00000000064,1999,VESTIBULAR,2008,2,,GRADUADO,2016,2,17,Homem,Branca,Somente escola privada,1989,19,27,6462,2008.2,2016.2
900000767,00000000065,2017,SISU,2018,2,4,CANCELAMENTO P/ SOLICITACAO ALUNO,2017,2,-1,Homem,Branca,Somente escola privada,2000,18,17,671,2018.2,2017.2
900002312,00000000066,1999,VESTIBULAR,2010,2,,GRADUADO,2020,1,20,Homem,Parda,Somente escola privada,1990,20,30,6499,2010.2,2020.1
900002043,00000000067,2017,SISU,2021,1,4,REGULAR,-1,0,-4044,Homem,Parda,Somente escola privada,2002,19,-2003,69990,2021.1,-1
900001894,00000000068,1999,VESTIBULAR,2007,1,,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,2,16,Homem,Não declarada,,1982,25,32,5661,2007.1,2014.2
900002488,00000000069,1999,SISU,2014,2,,CANCELADO REPROVOU TODAS POR FALTAS,2012,1,-4,Homem,Branca,Somente escola pública,1994,20,18,71437,2014.2,2012.1
900002630,00000000070,2017,SISU,2016,2,,GRADUADO,2013,2,-5,Homem,Não declarada,,1997,19,16,611,2016.2,2013.2
900001203,00000000071,2017,SISU,2015,2,,GRADUADO,2017,1,4,Homem,Não declarada,,1994,21,23,54940,2015.2,2017.1
900001281,00000000072,1999,VESTIBULAR / ENEM,2013,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2015,2,5,Homem,Parda,,1989,24,26,6493,2013.2,2015.2
900000625,00000000073,1999,VESTIBULAR,2007,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2014,1,14,Homem,Parda,Somente escola pública,1989,18,25,60851,2007.2,2014.1
900001827,00000000074,2017,SISU,2018,1,2,CANCELAMENTO POR ABANDONO,2011,1,-13,Homem,Branca,Somente escola privada,2001,17,10,62911,2018.1,2011.1
900002196,00000000075,2017,SISU,2018,1,,GRADUADO,2018,2,2,Mulher,Parda,Somente escola privada,1999,19,19,6291,2018.1,2018.2
900000616,00000000076,1999,SISU,2016,1,2,CANCELADO NOVO INGRESSO MESMO CURSO,2011,1,-9,Homem,Parda,Somente escola pública,1999,17,12,75440,2016.1,2011.1
900001109,00000000077,1999,SISU,2014,2,,CANCELAMENTO POR ABANDONO,2010,1,-8,Homem,Não declarada,,1991,23,19,75307,2014.2,2010.1
900002221,00000000078,1999,VESTIBULAR,2010,2,,CANCELADO REPROVOU TODAS POR FALTAS,2019,1,18,Homem,Não declarada,,1993,17,26,6195,2010.2,2019.1
900001889,00000000079,1999,VESTIBULAR / ENEM,2013,1,5,CANCELAMENTO POR ABANDONO,2020,1,15,Homem,Parda,Somente escola privada,1995,18,25,59254,2013.1,2020.1
900000410,00000000080,2017,VESTIBULAR / ENEM,2013,2,,CANCELAMENTO POR ABANDONO,2010,1,-6,Homem,Parda,Somente escola pública,1995,18,15,5701,2013.2,2010.1
900000428,00000000081,1999,VESTIBULAR / ENEM,2014,1,2,GRADUADO,2015,1,3,Homem,Parda,Somente escola privada,1995,19,20,5860,2014.1,2015.1
900002769,00000000082,1999,VESTIBULAR / ENEM,2012,1,,CANCELADO REPROVOU TODAS POR FALTAS,2014,1,5,Homem,Branca,Somente escola privada,1992,20,22,6782,2012.1,2014.1
900001566,00000000083,1999,VESTIBULAR / ENEM,2012,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2011,2,-1,Homem,Não declarada,,1987,25,24,5452,2012.2,2011.2
900000685,00000000084,2017,SISU,2019,2,,REGULAR,-1,0,-4041,Homem,Preta,,1997,22,-1998,6112,2019.2,-1
900001633,00000000085,1999,VESTIBULAR / ENEM,2012,1,,CANCELADO REPROVOU TODAS POR FALTAS,2013,2,4,Homem,Branca,Somente escola privada,1991,21,22,64338,2012.1,2013.2
900002715,00000000086,2017,SISU,2016,1,4,CANCELAMENTO P/ SOLICITACAO ALUNO,2017,2,4,Homem,Branca,Somente escola privada,1995,21,22,6499,2016.1,2017.2
900002817,00000000087,1999,VESTIBULAR,2009,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2019,1,20,Homem,Não declarada,,1991,18,28,5315,2009.2,2019.1
900001149,00000000088,1999,VESTIBULAR / ENEM,2012,1,,CANCELADO NOVO INGRESSO MESMO CURSO,2015,1,7,Homem,Branca,Somente escola privada,1994,18,21,6412,2012.1,2015.1
900001138,00000000089,1999,VESTIBULAR / ENEM,2012,1,,GRADUADO,2018,1,13,Homem,Branca,Somente escola privada,1996,16,22,67855,2012.1,2018.1
900002356,00000000090,2017,SISU,2019,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2018,1,-2,Homem,Branca,Somente escola pública,2002,17,16,6310,2019.2,2018.1
900002002,00000000091,1999,VESTIBULAR,2006,1,,REGULAR,-1,0,-4014,Homem,Parda,,1990,16,-1991,6199,2006.1,-1
900000033,00000000092,1999,VESTIBULAR / ENEM,2013,1,,CANCELAMENTO POR ABANDONO,2012,1,-1,Mulher,Amarela,,1994,19,18,753,2013.1,2012.1
900000276,00000000093,2017,SISU,2018,2,3,CANCELAMENTO P/ SOLICITACAO ALUNO,2013,2,-9,Homem,Amarela,,2000,18,13,6225,2018.2,2013.2
900002154,00000000094,1999,VESTIBULAR / ENEM,2012,1,,CANCELAMENTO POR ABANDONO,2015,1,7,Homem,Branca,,1995,17,20,616,2012.1,2015.1
900000540,00000000095,1999,VESTIBULAR,2010,2,,CANCELADO 3 REPROV MESMA DISCIPLINA,2010,2,1,Homem,Branca,Somente escola privada,1991,19,19,62329,2010.2,2010.2
900001570,00000000096,1999,VESTIBULAR,2006,2,,CANCELADO REPROVOU TODAS POR FALTAS,2015,2,19,Homem,Branca,Somente escola privada,1987,19,28,6158,2006.2,2015.2
900000708,00000000097,2017,SISU,2021,1,2,CANCELADO REPROVOU TODAS POR FALTAS,2016,1,-9,Homem,Branca,,2003,18,13,6416,2021.1,2016.1
900002277,00000000098,2017,SISU,2019,2,4,REGULAR,-1,0,-4041,Homem,Não declarada,,1999,20,-2000,58414,2019.2,-1
900000143,00000000099,1999,SISU,2015,2,5,CANCELADO 3 REPROV MESMA DISCIPLINA,2015,1,0,Homem,Branca,Somente escola pública,1996,19,19,6398,2015.2,2015.1
900001083,00000000100,1999,VESTIBULAR / ENEM,2011,1,,GRADUADO,2015,2,10,Homem,Não declarada,Somente escola privada,1984,27,31,5599,2011.1,2015.2
900002361,00000000101,2017,SISU,2019,2,4,CANCELADO 3 REPROV MESMA DISCIPLINA,2016,2,-5,Homem,Parda,Somente escola pública,2000,19,16,5734,2019.2,2016.2
900000801,00000000102,2017,TRANSFERENCIA,2016,2,,GRADUADO,2014,2,-3,Homem,Parda,,1998,18,16,5599,2016.2,2014.2
900000721,00000000103,1999,SISU,2015,1,,GRADUADO,2009,2,-10,Mulher,Não declarada,Somente escola privada,1996,19,13,60691,2015.1,2009.2
900000841,00000000104,2017,TRANSFERENCIA,2018,1,,GRADUADO,2012,1,-11,Homem,Branca,Somente escola pública,2001,17,11,67878,2018.1,2012.1
900002573,00000000105,1999,SISU,2015,1,,GRADUADO,2012,2,-4,Mulher,Branca,Somente escola privada,1994,21,18,8125,2015.1,2012.2
900002325,00000000106,1999,SISU,2016,2,,CANCELAMENTO P/ SOLICITACAO ALUNO,2012,2,-7,Mulher,Parda,Somente escola privada,1997,19,15,6468,2016.2,2012.2
900000274,00000000107,2017,SISU,2018,1,3,REGULAR,-1,0,-4038,Homem,Parda,Somente escola pública,1997,21,-1998,58655,2018.1,-1
900000632,00000000108,1999,JUDICIAL,2008,2,,GRADUADO,2020,1,24,Homem,Branca,Somente escola privada,1991,17,29,72957,2008.2,2020.1
900002217,00000000109,2017,SISU,2018,2,,CANCELADO REPROVOU TODAS POR FALTAS,2016,1,-4,Homem,Branca,Somente escola privada,1999,19,17,69477,2018.2,2016.1
900001763,00000000110,2017,SISU,2020,1,4,CANCELADO 3 REPROV MESMA DISCIPLINA,2015,1,-9,Homem,Branca,Somente escola privada,2002,18,13,6147,2020.1,2015.1
900000354,00000000111,1999,VESTIBULAR / ENEM,2012,2,,GRADUADO,2016,1,8,Homem,Parda,,1995,17,21,68235,2012.2,2016.1
900000234,00000000112,1999,VESTIBULAR,2008,1,,REGULAR,-1,0,-4018,Homem,Parda,Somente escola pública,1990,18,-1991,6020,2008.1,-1
900000714,00000000113,1999,VESTIBULAR / ENEM,2011,1,,CANCELADO NOVO INGRESSO MESMO CURSO,2012,1,3,Homem,Branca,Somente escola privada,1993,18,19,72177,2011.1,2012.1
900002653,00000000114,1999,VESTIBULAR / ENEM,2012,2,,CANCELADO REPROVOU TODAS POR FALTAS,2018,2,13,Mulher,Não declarada,,1992,20,26,,2012.2,2018.2
900002363,00000000115,2017,SISU,2017,1,3,GRADUADO,2015,1,-3,Homem,Branca,Somente escola privada,2001,16,14,69667,2017.1,2015.1
900002574,00000000116,1999,VESTIBULAR,2007,2,,GRADUADO,2012,1,10,Mulher,Parda,Somente escola privada,1988,19,24,71712,2007.2,2012.1
900002229,00000000117,2017,SISU,2018,2,,GRADUADO,2012,1,-12,Homem,Branca,Somente escola privada,2000,18,12,72533,2018.2,2012.1
900002810,00000000118,1999,VESTIBULAR / ENEM,2014,1,,CANCELAMENTO POR ABANDONO,2014,1,1,Homem,Branca,,1996,18,18,64571,2014.1,2014.1
900000550,00000000119,2017,SISU,2021,1,,CANCELAMENTO P/ SOLICITACAO ALUNO,2010,1,-21,Homem,Amarela,Somente escola privada,2002,19,8,72429,2021.1,2010.1
900000339,00000000120,1999,VESTIBULAR,2007,1,,CANCELADO NOVO INGRESSO MESMO CURSO,2016,1,19,Mulher,Parda,,1989,18,27,6132,2007.1,2016.1
900000172,00000000121,1999,VESTIBULAR,2008,1,,CANCELADO 3 REPROV MESMA DISCIPLINA,2010,2,6,Homem,Branca,Somente escola pública,1988,20,22,61535,2008.1,2010.2
900001632,00000000122,2017,SISU,2020,2,5,GRADUADO,2019,1,-2,Mulher,Parda,Somente escola privada,2002,18,17,5988,2020.2,2019.1
900001644,00000000123,1999,VESTIBULAR,2008,1,,CANCELADO REPROVOU TODAS POR FALTAS,2015,2,16,Homem,Parda,Somente escola pública,1990,18,25,67719,2008.1,2015.2
